Pass Rate,Rebases,Wall Clock Time
0.998000,1,1997.592942
0.998000,0,994.447930
0.999000,1,1971.221298
0.998000,0,1005.005775
0.999000,0,1000.173870
1.000000,0,1000.377509
0.997500,1,2060.645411
1.000000,0,1001.896138
0.997000,0,1029.152568
1.000000,0,980.928774
0.999000,2,3019.603823
1.000000,0,989.360134
0.999333,2,3027.969672
1.000000,0,1020.798655
1.000000,0,993.497855
0.998667,2,3018.492479
1.000000,0,999.425490
0.999000,0,1031.401008
0.999667,2,3053.597494
0.998500,1,1988.993917
1.000000,0,994.375440
0.998833,5,6018.786397
1.000000,0,994.820475
0.999000,0,1022.325310
0.999000,0,1016.131368
1.000000,0,1015.175793
1.000000,0,1015.793115
0.999000,1,2037.505673
1.000000,0,991.274893
0.999500,1,2017.048980
0.999000,1,1993.126460
0.999250,3,3989.381514
0.999000,0,1004.436931
0.999200,4,5025.113277
1.000000,0,979.637589
1.000000,0,1004.439787
0.999667,2,3050.169708
0.998000,0,998.520381
0.999000,1,2017.214724
0.999000,3,4014.437460
0.999333,2,2967.904966
0.999000,0,989.446635
0.999000,0,1000.982812
1.000000,0,998.666469
0.998500,1,2018.460770
1.000000,0,1010.529057
0.998000,0,986.219134
0.998000,0,1012.051300
0.999000,0,995.902906
0.999500,1,2007.664649
0.998667,2,3038.833506
0.999000,1,2007.430124
1.000000,0,1020.468228
0.999000,2,3028.758086
0.999000,1,2002.815310
0.998333,2,2988.717628
0.999000,0,992.711474
0.997000,0,990.097082
1.000000,0,995.194345
0.997333,2,3042.965174
0.999250,3,3987.143477
1.000000,0,1030.597837
0.998400,4,5067.432897
0.998250,3,3980.794902
1.000000,0,998.217379
0.999333,2,2994.774751
1.000000,0,999.607922
0.999333,2,3010.908924
1.000000,0,994.132198
0.999000,1,2031.705142
1.000000,0,980.449842
0.999000,1,1991.974635
1.000000,0,1021.698368
0.999500,1,1998.001283
0.999000,1,2001.747952
0.998500,3,4084.106136
0.998000,0,1002.582298
0.999000,2,3005.826035
1.000000,0,1007.632907
0.999000,0,1006.380163
0.999000,0,988.344434
1.000000,0,1005.743035
1.000000,0,995.124023
0.998000,1,2036.578581
1.000000,0,985.741291
1.000000,0,1003.833441
1.000000,0,1006.890986
0.999000,0,1005.519578
0.999500,3,4007.930264
0.999000,0,1027.959013
0.999000,0,992.995535
0.999000,1,2020.806343
0.998750,3,4040.758986
0.999000,1,2008.026940
1.000000,0,990.884776
